Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,ITRC-3344,296282,,Bandersnatch - Public Health Refugee Videos,zbaig4,zbaig4,Medium,Investigating,,18/Apr/19 12:04 PM,30/May/19 9:03 AM,31/Aug/19 12:00 AM
Task,ITRC-3342,296177,,Create banners for advertising the OWL faculty survey,zbaig4,sfoster9,High,Closed,Fixed,17/Apr/19 4:15 PM,22/Apr/19 12:53 PM,18/Apr/19 12:00 AM
Task,ITRC-3341,296071,,BIO 2290 - Bacterial Cloning Articulate Storyline Module,ddorobek,ddorobek,Medium,Closed,Fixed,17/Apr/19 11:45 AM,23/May/19 10:17 AM,17/May/19 12:00 AM
Task,ITRC-3338,294593,,Remove the ITRC 20 banner and ITRC 20th anniversary page from the ITRC public site,zbaig4,sfoster9,High,Closed,Fixed,08/Apr/19 12:48 PM,15/May/19 4:36 PM,
Sub-task,ITRC-3337,294359,294358,Convert PPT to Storyboard with Illustrations,dqian6,apypstra,Medium,Closed,Fixed,05/Apr/19 12:50 PM,16/Apr/19 8:58 AM,
Task,ITRC-3336,294358,,Psych 2070B - Course Trailer,,apypstra,Medium,Open,,05/Apr/19 12:49 PM,07/May/19 3:56 PM,
Task,ITRC-3335,292122,,ITRC Poster Design for Open Ed Student-Faculty Showcase,dqian6,dqian6,Medium,Closed,Done,25/Mar/19 1:32 PM,25/Mar/19 1:51 PM,25/Mar/19 12:00 AM
Sub-task,ITRC-3332,291275,278410,Conclusion: Project Poster,zbaig4,rsanchez,Medium,Closed,Fixed,20/Mar/19 10:26 AM,26/Mar/19 3:12 PM,26/Mar/19 12:00 AM
Task,ITRC-3328,290018,,Create posters and banners for advertising the upcoming OWL survey,zbaig4,sfoster9,Critical,Closed,Done,12/Mar/19 4:09 PM,17/Apr/19 4:17 PM,13/Mar/19 12:00 AM
Task,ITRC-3323,289353,,eCampus Poster Template,astew5,astew5,High,Closed,Done,07/Mar/19 4:06 PM,08/Mar/19 4:54 PM,
